,AMST 101,•  AMST 101 - Explorations of Race and Racism
,AMST 103,•  AMST 103 - The Problems of Race in US Social Thought and Policy
,AMST 110,•  AMST 110 - Introduction to African American Studies
,AMST 112,•  AMST 112 - Introduction to African American Literature
,AMST 160,•  AMST 160 - Culture Power Difference
,AMST 194,•  AMST 194 - Topics Course
,AMST 200,•  AMST 200 - Critical Methods for American Studies Research
,AMST 202,•  AMST 202 - Engaging the Public: Writing and Publishing in American Studies
,AMST 203,•  AMST 203 - Politics and Inequality: The American Welfare State
,AMST 205,•  AMST 205 - Trans Theories and Politics
,AMST 209,•  AMST 209 - Civil Rights in the United States
,AMST 219,•  AMST 219 - In Motion: African Americans in the United States
,AMST 222,•  AMST 222 - Imagining the American West
,AMST 224,"•  AMST 224 - Enslavement, Resistance, and Emancipation in Comp N Amer and Caribbean Perspectives"
,AMST 225,•  AMST 225 - Native History to 1871
,AMST 226,•  AMST 226 - American Indian History since 1871
,AMST 229,•  AMST 229 - Narrating Black Women’s Resistance
,AMST 231,"•  AMST 231 - Sovereignty Matters: Critical Indigeneity, Gender and Governance"
,AMST 232,•  AMST 232 - Immigration and Ethnicity in US History
,AMST 235,"•  AMST 235 - Captives, Cannibals, and Capitalists in the Early Modern Atlantic World"
,AMST 237,•  AMST 237 - Environmental Justice
,AMST 240,"•  AMST 240 - Race, Culture, and Ethnicity in Education"
,AMST 241,"•  AMST 241 - Reclaiming Zen, Yoga and Church: Asian American Religions"
,AMST 244,•  AMST 244 - Urban Latinx Power in the U.S.
,AMST 250,"•  AMST 250 - Race, Place and Space"
,AMST 251,•  AMST 251 - Race and the Law
,AMST 253,•  AMST 253 - James Baldwin and the Black Religious Imagination
,AMST 256,•  AMST 256 - Transatlantic Slave Trade
,AMST 260,"•  AMST 260 - Race, Cultural Politics and Social Movements"
,AMST 263,•  AMST 263 - African American Theater
,AMST 265,•  AMST 265 - The Schools-to-Prison Pipeline
,AMST 268,•  AMST 268 - American Culture in the Atomic Age
,AMST 270,•  AMST 270 - Black Public Intellectuals
,AMST 271,"•  AMST 271 - Uses and Abuses: Drugs, Addiction and Recovery"
,AMST 275,•  AMST 275 - African American Literature to 1900
,AMST 281,"•  AMST 281 - Bruce Lee, His Life and Legacy"
,AMST 284,"•  AMST 284 - Radical Reelism: Indigeneity, Politics, and Visual Culture"
,AMST 288,"•  AMST 288 - Identity, Race, and Ethnicity in Japan"
,AMST 294,•  AMST 294 - Topics Course
,AMST 300,•  AMST 300 - Critical Legal Studies
,AMST 301,•  AMST 301 - Critical Prison Studies
,AMST 308,•  AMST 308 - Introduction to U.S. Latinx Studies
,AMST 315,•  AMST 315 - U.S. Imperialism from the Philippines to Viet Nam
,AMST 336,•  AMST 336 - Blacks in Paris/Noires á Paris
,AMST 340,•  AMST 340 - Living on the Edge: The Asian American Experience
,AMST 341,"•  AMST 341 - City Life: Segregation, Integration, and Gentrification"
,AMST 355,"•  AMST 355 - Abolition Feminism: Race, Gender, Sexuality and Critical Prison Studies"
,AMST 370,•  AMST 370 - Understanding Race and Racism
,AMST 380,•  AMST 380 - Topics in African American Literature
,AMST 384,•  AMST 384 - Langston Hughes: Global Writer
,AMST 387,•  AMST 387 - Latinx in the Midwest
,AMST 392,•  AMST 392 - Topics Course
,AMST 394,•  AMST 394 - Topics Course
,AMST 400,•  AMST 400 - Senior Seminar
,AMST 445,•  AMST 445 - Frontera: The U.S./Mexico Border
,AMST 494,•  AMST 494 - Topics Course
,ANTH 101 ,•  ANTH 101 - General Anthropology
,ANTH 111 ,•  ANTH 111 - Cultural Anthropology
,ANTH 112 ,•  ANTH 112 - Archaeology and Human Origins
,ANTH 115 ,•  ANTH 115 - Biological Anthropology
,ANTH 194 ,•  ANTH 194 - Topics Course
,ANTH 206 ,•  ANTH 206 - Endangered and Minority Languages
,ANTH 223 ,•  ANTH 223 - Introduction to Archaeology
,ANTH 230 ,•  ANTH 230 - Ethnographic Interviewing
,ANTH 232 ,•  ANTH 232 - Field Methods and Research Design
,ANTH 239 ,•  ANTH 239 - Medical Anthropology
,ANTH 240 ,•  ANTH 240 - Human Osteology and Paleopathology
,ANTH 241 ,•  ANTH 241 - Anthropology of Death and Dying
,ANTH 243 ,•  ANTH 243 - Psychological Anthropology
,ANTH 246 ,•  ANTH 246 - Refugees/Humanitarian Response
,ANTH 248 ,•  ANTH 248 - Defense Against the Dark Arts
,ANTH 251 ,•  ANTH 251 - Politics of Memory in Latin America
,ANTH 253 ,•  ANTH 253 - Comparative Muslim Cultures
,ANTH 255 ,•  ANTH 255 - Latin America in Motion
,ANTH 256 ,•  ANTH 256 - India and its Neighbors: The Anthropology of South Asia
,ANTH 258 ,•  ANTH 258 - Dynamic Africa
,ANTH 259 ,•  ANTH 259 - Indigenous Peoples of the Arctic
,ANTH 260 ,•  ANTH 260 - Digital Cultures
,ANTH 270 ,•  ANTH 270 - Cultural Resource Management
,ANTH 294 ,•  ANTH 294 - Topics Course
,ANTH 335 ,•  ANTH 335 - Global Generosity
,ANTH 340 ,•  ANTH 340 - Human Evolution
,ANTH 358 ,•  ANTH 358 - Anthropology of Violence
