Area of Study,Course Code,Required for Major,Required for Minor
BIOL,BIOL 112,,2.3
,BIOL 117,,2.3
,BIOL 170,1.1,1.223
,BIOL 180,2.1,1.223
,BIOL 190,3.1,1.223
,BIOL 194,,2.3
,BIOL 200,8.1,1.22
,BIOL 255,,3.2
,BIOL 275,,2.3
,BIOL 277,,2.3
,BIOL 294,,2.3
,BIOL 302,4.25,2.33
,BIOL 304,4.25,2.33
,BIOL 306,4.25,2.33
,BIOL 310,5.2,2.3
,BIOL 312,4.25,2.33
,BIOL 316,4.25,2.33
,BIOL 318,4.25,2.3
,BIOL 320,5.2,2.3
,BIOL 322,5.2,2.3
,BIOL 350,5.2,2.3
,BIOL 351,4.25,2.33
,BIOL 352,4.25,2.33
,BIOL 353,5.2,2.3
,BIOL 354,5.2,2.3
,BIOL 357,4.25,2.33
,BIOL 359,4.25,2.33
,BIOL 362,5.2,2.3
,BIOL 364,5.2,2.3
,BIOL 365,4.25,2.33
,BIOL 366,4.25,2.33
,BIOL 369,4.25,2.33
,BIOL 370,4.25,2.33
,BIOL 380,4.25,
,BIOL 394,5.2,2.3
,BIOL 400,5.2,2.3
,BIOL 401,5.2,2.3
,BIOL 402,5.2,2.3
,BIOL 404,5.2,2.3
,BIOL 406,5.2,2.3
,BIOL 410,5.2,2.3
,BIOL 412,5.2,2.3
,BIOL 416,5.2,2.3
,BIOL 472,4.25,2.33
,BIOL 473,4.25,2.33
,BIOL 474,4.25,2.33
,BIOL 475,4.25,2.33
,BIOL 476,4.25,2.33
,BIOL 480,4.25,2.33
,BIOL 494,5.2,2.3
CHEM,CHEM 112,6.1,
,CHEM 115,6.1,
STAT,STAT 155,7.1,
,,,
,,Other Major Requirements,Other Minor Requirements
,,One supporting elective course approved by department chair,Courses approved by department
,,Capstone presentation,Only one course below 150
