ANTH,Course Code,Required for Major,Required for Minor
,ANTH 101 ,1.16,1.12
,ANTH 111 ,1.16,1.12
,ANTH 112 ,5.16,2.4
,ANTH 115 ,5.16,2.4
,ANTH 194 ,6.5,2.4
,ANTH 206 ,6.5,2.4
,ANTH 223 ,6.5,2.4
,ANTH 230 ,2.16,2.4
,ANTH 232 ,2.16,2.4
,ANTH 239 ,6.5,2.4
,ANTH 240 ,5.16,2.4
,ANTH 241 ,6.5,2.4
,ANTH 243 ,6.5,2.4
,ANTH 246 ,6.5,2.4
,ANTH 248 ,6.5,2.4
,ANTH 251 ,6.5,2.4
,ANTH 253 ,6.5,2.4
,ANTH 255 ,6.5,2.4
,ANTH 256 ,6.5,2.4
,ANTH 258 ,6.5,2.4
,ANTH 259 ,6.5,2.4
,ANTH 260 ,6.5,2.4
,ANTH 270 ,6.5,2.4
,ANTH 294 ,6.5,2.4
,ANTH 335 ,6.5,2.4
,ANTH 340 ,5.16,2.4
,ANTH 358 ,6.5,2.4
,ANTH 362 ,6.5,2.4
,ANTH 363 ,6.5,2.4
,ANTH 368 ,2.16,2.4
,ANTH 369 ,6.5,2.4
,ANTH 380 ,6.5,2.4
,ANTH 381 ,5.16,2.4
,ANTH 387 ,3.16,2.4
,ANTH 394 ,6.5,2.4
,ANTH 405 ,6.5,2.4
,ANTH 487 ,3.16,2.4
,ANTH 490 ,4.1,2.4
,ANTH 494 ,6.5,2.4
,,,
,Other Major Requirements 1,Study away,
,Other Major Requirements 2,Electives approved by department,
,Other Minor Requirements,,Courses approved by department
