ART STUDIO,Course Code,Required for Major,Required for Minor
,ART 130,3.18,2.1
,ART 131,5.18,4.1
,ART 149,,1.1
,ART 160,1.1,6.1
,ART 161,2.1,6.1
,ART 210,9.1,6.1
,ART 230,4.18,3.15
,ART 233,4.18,3.15
,ART 234,4.18,3.15
,ART 235,5.18,4.1
,ART 236,4.18,3.15
,ART 238,8.3,5.1
,ART 239,6.18,3.1
,ART 252,9.1,6.1
,ART 253,9.1,6.1
,ART 254,9.1,6.1
,ART 263,9.1,6.1
,ART 264,9.1,6.1
,ART 267,6.18,4.15
,ART 270,9.1,
,ART 271,9.1,6.1
,ART 272,,6.1
,ART 273,,6.1
,ART 280,9.1,6.1
,ART 281,9.1,6.1
,ART 282,9.1,6.1
,ART 283,9.1,6.1
,ART 284,9.1,6.1
,ART 285,9.1,6.1
,ART 294,9.1,6.1
,ART 330,7.18,3.15
,ART 332,7.18,5.1
,ART 333,7.18,5.1
,ART 334,8.3,5.1
,ART 370,7.18,5.1
,ART 371,7.18,5.1
,ART 372,7.18,5.1
,ART 373,7.18,5.1
,ART 374,7.18,5.1
,ART 375,,6.1
,ART 380,,6.1
,ART 487,,6.1
,ART 488,a.1,
,,,
,Other Major Requirements 1, Final comprehensive exhibition
