ASIA,Course Code,Required for Major,Required for Minor
,ASIA 111,1.1,1.1
,ASIA 112,2.8,2.4
,ASIA 113,2.8,2.4
,ASIA 123,2.8,2.4
,ASIA 124,2.8,2.4
,ASIA 127,2.8,2.4
,ASIA 140,2.8,2.4
,ASIA 150,2.8,2.4
,ASIA 172,2.8,2.4
,ASIA 194,2.8,2.4
,ASIA 205,2.8,2.4
,ASIA 211,2.8,2.4
,ASIA 220,2.8,2.4
,ASIA 236,2.8,2.4
,ASIA 241,2.8,2.4
,ASIA 244,2.8,2.4
,ASIA 251,2.8,2.4
,ASIA 254,2.8,2.4
,ASIA 255,2.8,2.4
,ASIA 256,2.8,2.4
,ASIA 258,2.8,2.4
,ASIA 260,2.8,2.4
,ASIA 265,2.8,2.4
,ASIA 270,2.8,2.4
,ASIA 271,2.8,2.4
,ASIA 272,2.8,2.4
,ASIA 273,2.8,2.4
,ASIA 274,2.8,2.4
,ASIA 275,2.8,2.4
,ASIA 276,2.8,2.4
,ASIA 277,2.8,2.4
,ASIA 282,2.8,2.4
,ASIA 283,2.8,2.4
,ASIA 294,2.8,2.4
,ASIA 315,2.8,2.4
,ASIA 320,2.8,2.4
,ASIA 327,2.8,2.4
,ASIA 335,2.8,2.4
,ASIA 340,2.8,2.4
,ASIA 350,2.8,2.4
,ASIA 353,2.8,2.4
,ASIA 378,2.8,2.4
,ASIA 394,2.8,2.4
,ASIA 494,2.8,2.4
CHIN,CHIN 101,2.8,2.4
,CHIN 102,2.8,2.4
,CHIN 125,2.8,2.4
,CHIN 203,2.8,2.4
,CHIN 204,2.8,2.4
,CHIN 305,2.8,2.4
,CHIN 306,2.8,2.4
,CHIN 407,2.8,2.4
,CHIN 408,2.8,2.4
,CHIN 409,2.8,2.4
,CHIN 452,2.8,2.4
JAPA,JAPA 101,2.8,2.4
,JAPA 102,2.8,2.4
,JAPA 203,2.8,2.4
,JAPA 204,2.8,2.4
,JAPA 288,2.8,2.4
,JAPA 305,2.8,2.4
,JAPA 306,2.8,2.4
,JAPA 407,2.8,2.4
,JAPA 408,2.8,2.4
,JAPA 488,2.8,2.4
CLAS,CLAS 135,2.8,2.4
ART,ART 270,2.8,2.4
,ART 328,2.8,2.4
RELI,RELI 233,2.8,2.4
,RELI 336,2.8,2.4
SOCI,SOCI 285,2.8,2.4
,,,
,Other Major Requirements, Capstone course or independent project
,Other Major Requirements, Study away in Asia or approved alternate
,Other Major Requirements, Four courses from single relevant discipline
,Other Major Requirements, No more than 4 courses can be in Asian language study
,Other Major Requirements, No more than 6 courses can be about one country,
,Other Minor Requirements,, Courses approved by department
,Other Minor Requirements,, No more than 3 courses can be about one country
