ECON,Course Code,Required for Major,Required for Minor
,ECON 113,8.2,5.2
,ECON 115,8.2,5.2
,ECON 116,8.2,5.2
,ECON 117,8.2,5.2
,ECON 119,1.1,1.1
,ECON 129,1.1,1.1
,ECON 194,8.2,5.2
,ECON 210,5.168,4.15
,ECON 221,5.168,4.15
,ECON 225,5.168,4.15
,ECON 229,5.168,4.15
,ECON 231,5.168,4.15
,ECON 235,5.168,4.15
,ECON 238,5.168,4.15
,ECON 239,5.168,4.15
,ECON 242,5.168,4.15
,ECON 256,5.168,4.15
,ECON 258,5.168,4.15
,ECON 277,5.168,4.15
,ECON 294,5.168,4.15
,ECON 325,6.18,5.2
,ECON 342,6.18,5.2
,ECON 353,6.18,5.2
,ECON 354,6.18,5.2
,ECON 356,6.18,5.2
,ECON 361,2.1,2.1
,ECON 371,3.1,3.15
,ECON 381,4.1,3.15
,ECON 394,6.18,5.2
,ECON 405,7.168,5.2
,ECON 406,6.178,5.2
,ECON 421,6.178,5.2
,ECON 422,6.178,5.2
,ECON 425,6.178,5.2
,ECON 426,6.178,5.2
,ECON 431,6.178,5.2
,ECON 432,6.178,5.2
,ECON 442,6.178,5.2
,ECON 444,6.178,5.2
,ECON 457,6.178,5.2
,ECON 471,6.178,5.2
,ECON 472,6.178,5.2
,ECON 473,6.178,5.2
,ECON 474,6.178,5.2
,ECON 477,6.178,5.2
,ECON 478,6.178,5.2
,ECON 481,6.178,5.2
,ECON 485,6.178,5.2
,ECON 486,6.178,5.2
,ECON 489,6.178,5.2
,ECON 490,6.178,5.2
,ECON 494,6.178,5.2
STAT,STAT 155,A.1,
MATH,MATH 135,9.1,6.1
,MATH 137,9.1,6.1
,MATH 237,9.1,6.1
,,,
,Other Major Requirements,Capstone course or experience,
