MCST,Course Code,Required for Major,Required for Minor
,MCST 110,1.1,2.4
,MCST 114,6.1,2.4
,MCST 126,3.1,1.1
,MCST 128,2.1,2.4
,MCST 160,8.2,2.4
,MCST 194,8.2,2.4
,MCST 202,3.1,1.1
,MCST 232,6.1,2.4
,MCST 234,6.1,2.4
,MCST 248,5.2,2.4
,MCST 249,6.1,2.4
,MCST 258,8.2,2.4
,MCST 266,8.2,2.4
,MCST 268,6.1,2.4
,MCST 271,8.2,2.4
,MCST 273,8.2,2.4
,MCST 275,4.1,2.4
,MCST 276,8.2,2.4
,MCST 278,4.1,2.4
,MCST 279,8.2,2.4
,MCST 281,5.2,2.4
,MCST 284,5.2,2.4
,MCST 294,8.2,2.4
,MCST 321,4.1,2.4
,MCST 330,4.1,2.4
,MCST 357,8.2,2.4
,MCST 388,4.1,2.4
,MCST 394,8.2,2.4
,MCST 488,7.1,2.4
,MCST 494,8.2,2.4
