POLI,Course Code,Required for Major,Required for Minor
,POLI 100,1.1,1.1
,POLI 120,1.1,1.1
,POLI 140,1.1,1.1
,POLI 141,1.1,1.1
,POLI 160,1.1,1.1
,POLI 194,1.1,1.1
,POLI 200,4.3,2.2
,POLI 202,4.3,2.2
,POLI 203,4.3,2.2
,POLI 204,4.3,2.2
,POLI 205,4.3,2.2
,POLI 206,4.3,2.2
,POLI 207,4.3,2.2
,POLI 212,4.3,2.2
,POLI 215,4.3,2.2
,POLI 216,4.3,2.2
,POLI 220,4.3,2.2
,POLI 221,4.3,2.2
,POLI 222,4.3,2.2
,POLI 242,4.3,2.2
,POLI 244,4.3,2.2
,POLI 245,4.3,2.2
,POLI 246,4.3,2.2
,POLI 247,4.3,2.2
,POLI 250,4.3,2.2
,POLI 252,4.3,2.2
,POLI 260,2.1,2.2
,POLI 261,2.1,2.2
,POLI 262,2.1,2.2
,POLI 265,2.1,2.2
,POLI 266,2.1,2.2
,POLI 267,2.1,2.2
,POLI 268,2.1,2.2
,POLI 269,3.1,2.2
,POLI 272,3.1,2.2
,POLI 274,,2.2
,POLI 276,4.3,2.2
,POLI 277,4.3,2.2
,POLI 278,2.1,2.2
,POLI 282,,2.2
,POLI 285,4.3,2.2
,POLI 290,4.3,2.2
,POLI 294,4.3,2.2
,POLI 300,5.1,3.2
,POLI 301,5.1,3.2
,POLI 315,5.1,3.2
,POLI 320,5.1,3.2
,POLI 321,5.1,3.2
,POLI 322,2.1,3.2
,POLI 323,5.1,3.2
,POLI 324,5.1,3.2
,POLI 333,5.1,3.2
,POLI 335,5.1,3.2
,POLI 337,5.1,3.2
,POLI 341,5.1,3.2
,POLI 342,5.1,3.2
,POLI 352,5.1,3.2
,POLI 394,5.1,3.2
,POLI 400,6.1,3.2
,POLI 404,6.1,3.2
,POLI 494,6.1,3.2
,SOCI 275,4.3,
,,,
,Other Major Requirements,One practicum (internship or fellowship),
