LATI,Course Code,Required for Major,Required for Minor
,LATI 141,3.34,1.1
,LATI 181,3.3,1.1
,LATI 239,4.1,
,LATI 244,3.34,
,LATI 245,3.34,
,LATI 249,3.3,
,LATI 251,3.34,
,LATI 255,3.34,
,LATI 258,3.34,
,LATI 281,3.3,
,LATI 282,3.3,
,LATI 283,3.3,
,LATI 285,3.3,
,LATI 308,3.3,
,LATI 316,3.3,
,LATI 341,3.34,
,LATI 342,3.34,
,LATI 376,3.3,
,LATI 381,3.3,
,LATI 385,3.3,
,LATI 386,3.3,
,LATI 488,6.1,
,ANTH 255,1.1,1.1
,GEOG 249,1.1,1.1
,HIST 181,1.1,
,POLI 141,1.1,
,SPAN 171,1.1,
,PORT 111,2.2,2.4
,SPAN 305,2.2,2.4
,PORT 331,2.23,2.4
,SPAN 110,2.2,
,ECON 239,3.34,
,ECON 426,3.34,
,SOCI 220,3.3,
,SPAN 325,3.3,
,SPAN 355,3.3,
,SPAN 362,3.3,
,ANTH 230,5.1,
,ECON 381,5.1,
,GEOG 377,5.1,
,HIST 290,5.1,
,POLI 269,5.1,
,SOCI 269,5.1,
,SOCI 270,5.1,
,SOCI 275,5.1,
,SPAN 307,5.1,
,SPAN 101,,2.4
,SPAN 102,,2.4
,SPAN 203,,2.4
,SPAN 204,,2.4
,PORT 221,,2.4
,,,
,Other Minor Requirements,,"5 classes in the humanities, social sciences, and latin american studies disciplines"
