LING,Course Code,Required for Major,Required for Minor
,LING 100,1.1,1.1
,LING 104,2.1,2.4
,LING 150,,2.4
,LING 175,8.2,2.4
,LING 194,8.2,2.4
,LING 200,3.1,2.4
,LING 201,8.2,2.4
,LING 205,4.1,2.4
,LING 206,8.2,2.4
,LING 208,8.2,2.4
,LING 220,8.2,2.4
,LING 225,8.2,2.4
,LING 236,,2.4
,LING 265,,2.4
,LING 280,8.2,2.4
,LING 282,,2.4
,LING 294,8.2,2.4
,LING 300,5.1,2.4
,LING 304,8.2,2.4
,LING 309,7.1,2.4
,LING 311,,2.4
,LING 332,7.1,2.4
,LING 335,,2.4
,LING 378,,2.4
,LING 394,8.2,2.4
,LING 401,9.1,2.4
,LING 435,,2.4
,LING 436,7.1,2.4
,LING 437,,2.4
,LING 488,,2.4
,LING 494,8.2,2.4
FREN,FREN 294,6.2,
,FREN 305,6.2,
,FREN 306,6.2,
,FREN 310,6.2,
,FREN 311,6.2,
,FREN 320,6.2,
,FREN 321,6.2,
,FREN 322,6.2,
,FREN 322,6.2,
,FREN 323,6.2,
,FREN 330,6.2,
,FREN 332,6.2,
,FREN 336,6.2,
,FREN 340,6.2,
,FREN 341,6.2,
,FREN 342,6.2,
,FREN 344,6.2,
,FREN 345,6.2,
,FREN 350,6.2,
,FREN 370,6.2,
,FREN 371,6.2,
,FREN 378,6.2,
,FREN 380,6.2,
,FREN 394,6.2,
,FREN 403,6.2,
,FREN 420,6.2,
,FREN 445,6.2,
,FREN 446,6.2,
,FREN 450,6.2,
,FREN 451,6.2,
,FREN 452,6.2,
,FREN 475,6.2,
,FREN 477,6.2,
,FREN 488,6.2,
,FREN 494,6.2,
GERM,GERM 230,6.2,
,GERM 271,6.2,
,GERM 273,6.2,
,GERM 274,6.2,
,GERM 275,6.2,
,GERM 276,6.2,
,GERM 277,6.2,
,GERM 278,6.2,
,GERM 279,6.2,
,GERM 294,6.2,
,GERM 308,6.2,
,GERM 309,6.2,
,GERM 316,6.2,
,GERM 363,6.2,
,GERM 364,6.2,
,GERM 365,6.2,
,GERM 366,6.2,
,GERM 394,6.2,
,GERM 488,6.2,
,GERM 494,6.2,
JAPA,JAPA 254,6.2,
,JAPA 260,6.2,
,JAPA 282,6.2,
,JAPA 288,6.2,
,JAPA 294,6.2,
,JAPA 305,6.2,
,JAPA 306,6.2,
,JAPA 335,6.27,
,JAPA 394,6.2,
,JAPA 407,6.2,
,JAPA 408,6.2,
,JAPA 488,6.27,
,JAPA 494,6.2,
PORT,PORT 294,6.2,
,PORT 331,6.2,
,PORT 341,6.2,
,PORT 351,6.2,
,PORT 381,6.2,
,PORT 394,6.2,
,PORT 494,6.2,
RUSS,RUSS 245,6.2,
,RUSS 250,6.2,
,RUSS 251,6.2,
,RUSS 252,6.2,
,RUSS 257,6.2,
,RUSS 260,6.2,
,RUSS 261,6.2,
,RUSS 262,6.2,
,RUSS 265,6.2,
,RUSS 270,6.2,
,RUSS 272,6.2,
,RUSS 294,6.2,
,RUSS 305,6.2,
,RUSS 363,6.2,
,RUSS 364,6.2,
,RUSS 367,6.2,
,RUSS 394,6.2,
,RUSS 405,6.2,
,RUSS 488,6.2,
,RUSS 494,6.2,
SPAN,SPAN 220,6.2,
,SPAN 294,6.2,
,SPAN 305,6.2,
,SPAN 306,6.2,
,SPAN 307,6.2,
,SPAN 308,6.2,
,SPAN 309,6.27,
,SPAN 316,6.2,
,SPAN 325,6.2,
,SPAN 330,6.2,
,SPAN 332,6.27,
,SPAN 334,6.2,
,SPAN 343,6.2,
,SPAN 354,6.2,
,SPAN 355,6.2,
,SPAN 357,6.2,
,SPAN 359,6.2,
,SPAN 360,6.2,
,SPAN 361,6.2,
,SPAN 362,6.2,
,SPAN 373,6.27,
,SPAN 375,6.2,
,SPAN 376,6.27,
,SPAN 377,6.2,
,SPAN 382,6.2,
,SPAN 385,6.2,
,SPAN 386,6.2,
,SPAN 387,6.2,
,SPAN 394,6.2,
,SPAN 488,6.2,
,SPAN 494,6.2,
COMP,COMP 123,7.1,
COMP,COMP 484,7.1,
CHIN,CHIN 251,6.2,
,CHIN 255,6.2,
,CHIN 258,6.2,
,CHIN 305,6.2,
,CHIN 306,6.2,
,CHIN 353,6.2,
,CHIN 407,6.2,
,CHIN 408,6.2,
,CHIN 409,6.2,
,CHIN 452,6.27,
PHIL,PHIL 111,7.1,
PHIL,PHIL 311,7.1,
PSYC,PSYC 180,7.1,
,PSYC 242,7.1,
,PSYC 378,7.1,
