MATH,Course Code,Required for Major,Required for Minor
,MATH 212,6.2,
,MATH 236,1.1,2.1
,MATH 237,2.1,3.1
,MATH 279,6.2,1.1
,MATH 294,6.2,
,MATH 312,5.2,4.2
,MATH 313,6.2,4.2
,MATH 354,5.2,4.2
,MATH 361,6.2,4.2
,MATH 365,5.2,4.2
,MATH 375,5.2,4.2
,MATH 376,5.2,4.2
,MATH 377,5.2,4.2
,MATH 378,5.2,4.2
,MATH 379,5.2,4.2
,MATH 394,6.2,4.2
,MATH 432,7.1,4.2
,MATH 437,7.1,4.2
,MATH 455,7.1,4.2
,MATH 465,6.2,4.2
,MATH 471,7.1,4.2
,MATH 476,7.1,4.2
,MATH 477,6.2,4.2
,MATH 479,7.1,4.2
,MATH 494,7.1,4.2
,STAT 112,3.1,
,STAT 125,3.1,
,STAT 155,3.1,
,STAT 194,3.1,
,STAT 212,3.1,
,STAT 253,3.1,
,STAT 294,3.1,
,STAT 354,3.1,
,STAT 394,3.1,
,STAT 451,3.1,
,STAT 452,3.1,
,STAT 453,6.2,
,STAT 454,6.2,
,STAT 455,3.1,
,STAT 456,3.1,
,STAT 494,3.1,
COMP,COMP 112,4.1,
,COMP 120,4.1,
,COMP 123,4.1,5.1
,COMP 127,4.1,
,COMP 128,4.1,
,COMP 154,4.1,
,COMP 194,4.1,
,COMP 212,4.1,
,COMP 221,4.1,
,COMP 225,4.1,
,COMP 240,4.1,
,COMP 272,4.1,
,COMP 294,4.1,
,COMP 302,4.1,
,COMP 320,4.1,
,COMP 321,4.1,
,COMP 325,4.1,
,COMP 340,4.1,
,COMP 342,4.1,
,COMP 361,6.2,
,COMP 364,4.1,
,COMP 365,4.1,
,COMP 381,4.1,
,COMP 394,4.1,
,COMP 435,4.1,
,COMP 440,4.1,
,COMP 445,4.1,
,COMP 446,4.1,
,COMP 456,4.1,
,COMP 465,4.1,
,COMP 479,7.1,4.2
,COMP 480,4.1,
,COMP 484,4.1,
,COMP 487,4.1,
,COMP 494,4.1,
