SOCI,Course Code,Required for Major,Required for Minor
,SOCI 110,1.1,1.5
,SOCI 150,6.4,1.5
,SOCI 170,6.4,1.5
,SOCI 175,6.4,1.5
,SOCI 180,6.4,1.5
,SOCI 185,6.4,1.5
,SOCI 190,6.4,1.5
,SOCI 194,6.4,1.5
,SOCI 200,6.4,1.5
,SOCI 205,6.4,1.5
,SOCI 210,6.4,1.5
,SOCI 220,6.4,1.5
,SOCI 222,6.4,1.5
,SOCI 230,6.4,1.5
,SOCI 232,6.4,1.5
,SOCI 248,6.4,1.5
,SOCI 250,6.4,1.5
,SOCI 258,6.4,1.5
,SOCI 269,2.1,1.5
,SOCI 270,4.1,1.5
,SOCI 272,3.1,1.5
,SOCI 275,4.1,1.5
,SOCI 280,6.4,1.5
,SOCI 283,6.4,1.5
,SOCI 290,6.4,1.5
,SOCI 294,6.4,1.5
,SOCI 310,6.4,1.5
,SOCI 335,6.4,1.5
,SOCI 370,6.4,1.5
,SOCI 394,6.4,1.5
,SOCI 480,5.1,1.5
,SOCI 494,6.4,1.5
