WGSS,Course Code,Required for Major,Required for Minor
, WGSS 100,1.1,1.1
, WGSS 117,6.4,4.2
, WGSS 127,6.4,4.2
, WGSS 141,6.4,4.2
, WGSS 150,6.4,4.2
, WGSS 170,6.4,4.2
, WGSS 185,6.4,4.2
, WGSS 194,6.4,4.2
, WGSS 200,2.1,2.1
, WGSS 201,6.4,4.2
, WGSS 205,6.4,4.2
, WGSS 210,6.4,4.2
, WGSS 217,6.4,4.2
, WGSS 218,6.4,4.2
, WGSS 220,6.4,4.2
, WGSS 225,6.4,4.2
, WGSS 228,6.4,4.2
, WGSS 229,6.4,4.2
, WGSS 240,6.4,4.2
, WGSS 242,6.4,4.2
, WGSS 248,6.4,4.2
, WGSS 250,6.4,4.2
, WGSS 252,6.4,4.2
, WGSS 258,6.4,4.2
, WGSS 259,6.4,4.2
, WGSS 261,6.4,4.2
, WGSS 262,6.4,4.2
, WGSS 263,6.4,4.2
, WGSS 264,6.4,4.2
, WGSS 294,6.4,4.2
, WGSS 300,3.1,3.14
, WGSS 305,5.26,3.14
, WGSS 308,5.26,3.14
, WGSS 310,5.26,3.14
, WGSS 315,5.26,3.14
, WGSS 324,5.26,3.14
, WGSS 325,5.26,3.14
, WGSS 330,5.26,3.14
, WGSS 346,5.26,3.14
, WGSS 354,5.26,3.14
, WGSS 355,5.26,3.14
, WGSS 364,5.26,3.14
, WGSS 368,5.26,3.14
, WGSS 394,5.26,3.14
, WGSS 400,4.1,4.2
, WGSS 405,5.26,4.2
, WGSS 494,5.26,4.2
